"X.1","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
64,"RPL34",0,-0.409450742636635,0.962,0.976,0,"CD8+ Cytotoxic T","RPL34"
65,"RPS16",0,-0.309183626663669,0.959,0.973,0,"CD8+ Cytotoxic T","RPS16"
66,"RPS23",0,-0.330067349431221,0.962,0.975,0,"CD8+ Cytotoxic T","RPS23"
67,"RPS5",0,-0.417695488638787,0.952,0.965,0,"CD8+ Cytotoxic T","RPS5"
68,"GNB2L1",0,-0.30016951082897,0.956,0.966,0,"CD8+ Cytotoxic T","GNB2L1"
69,"RPS3A",0,-0.314601068008961,0.992,0.983,0,"CD8+ Cytotoxic T","RPS3A"
70,"HLA-B",0,0.636905883901679,1,0.991,0,"CD8+ Cytotoxic T","HLA-B"
71,"RPLP1",0,-0.344467811832943,0.981,0.99,0,"CD8+ Cytotoxic T","RPLP1"
72,"RPS8",0,-0.313880547353615,0.977,0.984,0,"CD8+ Cytotoxic T","RPS8"
73,"RPL12",0,-0.298397243261078,0.981,0.988,0,"CD8+ Cytotoxic T","RPL12"
74,"RPS25",0,-0.339630470447443,0.956,0.962,0,"CD8+ Cytotoxic T","RPS25"
75,"B2M",0,0.545932953847368,1,0.994,0,"CD8+ Cytotoxic T","B2M"
76,"RPL31",0,-0.310913640735352,0.967,0.972,0,"CD8+ Cytotoxic T","RPL31"
77,"RPL18",0,-0.338181562644751,0.981,0.986,0,"CD8+ Cytotoxic T","RPL18"
78,"RPS9",0,-0.325044980904273,0.984,0.989,0,"CD8+ Cytotoxic T","RPS9"
79,"RPL8",0,-0.281499719318067,0.981,0.985,0,"CD8+ Cytotoxic T","RPL8"
80,"RPL18A",0,-0.318466497743927,0.996,0.992,0,"CD8+ Cytotoxic T","RPL18A"
81,"RPL32",0,-0.368356137118665,0.995,0.992,0,"CD8+ Cytotoxic T","RPL32"
85,"RPL13",0,-0.262556150081604,1,0.998,0,"CD8+ Cytotoxic T","RPL13"
86,"RPL11",0,-0.411582862674259,0.995,0.994,0,"CD8+ Cytotoxic T","RPL11"
87,"RPL9",0,-0.298099121513732,0.972,0.971,0,"CD8+ Cytotoxic T","RPL9"
88,"RPL10A",0,-0.290179081705689,0.977,0.978,0,"CD8+ Cytotoxic T","RPL10A"
89,"RPLP2",0,-0.291486110440545,0.99,0.989,0,"CD8+ Cytotoxic T","RPLP2"
90,"RPS15",0,-0.254542573459269,0.988,0.989,0,"CD8+ Cytotoxic T","RPS15"
91,"ADRB2",3.11551087890317e-307,2.25110596893822,0.079,0.017,1.01995595153532e-302,"CD8+ Cytotoxic T","ADRB2"
